Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
114,20000642,JaMychal Green,MEM,PF,77,689,544,84,34,47,50,80.2,38.2,134,195,55,94,2101,10,0,1535.8
115,20000686,Maurice Harkless,POR,SF,77,773,342,88,68,84,50.2,62.1,35.1,77,246,68,85,2223,2,0,1534.4
116,20000475,Ryan Anderson,HOU,PF,72,982,329,68,14,31,41.9,86,40.4,129,119,205,55,2116,2,0,1513.8
117,20000827,Jusuf Nurkic,POR,C,65,662,465,121,75,49,50.7,57.1,0,120,271,0,142,1391,13,0,1507.5
118,20000608,Kent Bazemore,ATL,SG,73,801,228,177,53,92,40.9,70.8,34.6,119,203,92,123,1962,0,0,1507.1
119,20000487,Andre Iguodala,GS,SF,76,574,304,260,38,77,52.8,70.6,36.2,72,155,64,58,1997,0,0,1500.8
120,20000666,Jamal Crawford,LAC,SG,82,1008,129,213,14,60,41.3,85.7,36,174,243,116,134,2157,0,0,1496.3
121,20000887,Will Barton,DEN,SG,60,820,259,206,30,45,44.2,75.3,37,143,208,87,97,1705,2,0,1492.8
122,20000693,Jameer Nelson,DEN,PG,75,687,190,385,8,54,44.4,71.4,38.8,45,162,106,130,2044,4,0,1486.5
123,20000655,Cory Joseph,TOR,PG,80,740,234,266,11,69,45.2,77,35.6,94,251,48,109,2002,1,0,1470.8
124,20000933,Seth Curry,DAL,SG,70,898,177,188,6,79,48.1,85,42.7,85,201,137,92,2029,1,0,1470.4
125,20000643,Jon Leuer,DET,PF,75,769,403,111,26,31,48.1,86.7,29.3,98,262,49,66,1943,3,0,1467.1
126,20000856,P.J. Tucker,TOR,SF,81,540,469,99,19,118,41.4,77.4,35.7,72,129,70,66,2235,3,0,1459.3
127,20000934,Sean Kilpatrick,BKN,SG,70,919,280,157,6,46,41.5,84.3,34.1,204,200,105,136,1753,4,0,1458.5
128,20000852,Alex Len,PHO,C,77,613,508,44,99,36,49.8,72.1,25,150,227,3,102,1559,11,0,1456.6
129,20000520,Nikola Mirotic,CHI,PF,70,744,383,75,56,53,41.3,77.3,34.2,99,129,129,80,1678,8,0,1454.1
130,20000754,Cody Zeller,CHA,C,62,639,405,99,61,58,57.1,67.9,0,133,253,0,65,1725,6,0,1446.5
131,20000636,Tony Allen,MEM,SG,71,643,391,98,29,114,46.1,61.5,27.8,80,259,15,100,1913,5,0,1445.2
132,20000823,Ty Lawson,SAC,PG,69,681,179,334,6,74,45.4,79.7,28.8,173,203,34,129,1732,3,1,1427.8
133,20000812,Brandon Jennings,WAS,PG,81,577,195,394,5,71,35.9,75,31.3,114,113,79,127,1801,3,0,1427
134,20001671,Brandon Ingram,LAL,SF,79,740,317,166,36,50,40.2,62.1,29.4,133,221,55,116,2279,0,0,1425.4
135,20001674,Marquese Chriss,PHO,PF,82,753,348,59,70,67,44.9,62.4,32.1,113,212,72,108,1743,3,0,1425.1
136,20000876,Andre Roberson,OKC,SG,79,522,403,79,81,94,46.4,42.3,24.6,47,170,45,51,2375,2,0,1423.1
137,20000453,Terrence Ross,ORL,SG,78,858,208,88,33,87,43.7,83.1,36.3,64,184,142,68,1954,0,0,1411.6
138,20000758,Bismack Biyombo,ORL,C,81,483,568,74,90,25,52.5,53.4,0,125,179,0,95,1793,10,0,1410.6
139,20000677,Kyle O'Quinn,NY,C,79,496,438,117,105,37,52.1,77.1,11.8,64,213,2,76,1229,6,0,1405.1
140,20000527,Dirk Nowitzki,DAL,PF,54,769,351,82,38,30,43.7,87.5,37.8,98,217,79,51,1424,8,0,1398.2
141,20000832,Gary Harris,DEN,SG,57,851,181,162,8,71,50.3,77.6,42,104,213,107,76,1782,0,0,1393.2
142,20000667,Austin Rivers,LAC,PG,74,889,160,204,10,49,44.2,69.1,37.1,132,212,111,115,2053,0,0,1390
143,20000656,Patty Mills,SA,PG,80,759,143,279,3,66,44,82.5,41.4,66,126,147,101,1754,1,0,1386.1
144,20001405,Guillermo Hernangomez,NY,C,72,587,499,97,36,41,53.1,72.8,26.7,91,242,4,100,1324,11,0,1385.3
145,20000564,Kelly Olynyk,BOS,C,75,678,360,148,28,44,51.1,73.2,35.4,90,192,68,96,1538,1,0,1380
146,20000743,George Hill,UTA,PG,49,829,167,203,11,49,47.7,80.1,40.2,157,195,94,85,1544,0,0,1368.9
147,20001673,Buddy Hield,SAC,SG,82,866,270,121,10,37,42.6,84.2,39.1,64,179,148,101,1888,0,0,1364.5
148,20001666,Jamal Murray,DEN,PG,82,811,213,171,24,53,40.5,88.3,33.4,106,180,115,114,1764,1,0,1363.1
149,20000589,Deron Williams,CLE,PG,64,701,147,360,8,31,43.8,82.6,36.3,90,178,85,137,1657,3,0,1358.4
150,20000496,David Lee,SA,PF,79,576,440,122,40,31,59,70.8,0,80,248,0,81,1476,7,0,1348
151,20000622,Allen Crabbe,POR,SG,79,845,224,94,20,54,46.8,84.7,44.4,105,169,134,62,2254,0,0,1340.8
152,20000532,Al-Farouq Aminu,POR,PF,62,532,451,100,44,61,39.2,70.6,32.9,96,113,70,94,1773,4,0,1339.2
153,20000842,Joe Ingles,UTA,SF,82,581,262,226,8,96,45.2,73.5,44.1,50,81,123,107,1972,0,0,1335.4
